| dominio                           | documento           | adm_handle | tec_handle | cob_handle | ticket   | data_cadastro       | ultima_atualizacao  |
| a2000.gov.br                      | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |   137067 | 1999-01-15 17:39:03 | 2020-06-08 13:13:46 |
| abc.gov.br                        | 000.394.536/0065-01 | SAT7       | SAT7       | SAT7       |   642972 | 2001-09-24 19:40:12 | 2022-05-25 14:00:21 |
| abcd.gov.br                       | 002.961.362/0001-74 | RAASI691   | MHAGO13    | RAASI691   | 10111463 | 2012-07-17 14:52:47 | 2022-09-05 23:56:41 |
| abcnaidadecerta.gov.br            | 000.394.445/0139-39 | ACPSB2     | ACPSB2     | ACPSB2     | 10265256 | 2012-08-09 13:49:35 | 2023-02-17 20:12:22 |
| abgf.gov.br                       | 017.909.518/0001-45 | SEGDI7     | SEGDI7     | ABGFS      | 12374398 | 2013-12-26 09:38:27 | 2020-05-05 20:44:19 |
| abin.gov.br                       | 001.175.497/0001-41 | GDS174     | DSARA3     | GDS174     |    68327 | 1997-11-08 11:00:00 | 2020-06-01 17:12:51 |
| abrasil.gov.br                    | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |   190313 | 1999-08-20 11:50:34 | 2021-01-12 11:25:53 |
| ac-jus.gov.br                     | 000.508.903/0001-88 | PMI        | AJM126     | PMI2       |  1943824 | 2005-01-05 10:25:29 | 2023-09-04 19:42:37 |
| ac.gov.br                         | 016.958.425/0001-48 | ALQSI      | ALQSI      | ALQSI      |   122623 | 1998-10-21 11:00:00 | 2023-06-19 23:43:46 |
| acesso.gov.br                     | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 18991671 | 2018-11-23 14:03:35 | 2022-10-25 17:02:19 |
| acessoainformacao.gov.br          | 026.664.015/0001-48 | SEGDI7     | SRBOL6     | GUMSO21    |  9416110 | 2012-02-28 10:43:00 | 2021-09-06 16:01:16 |
| acessoajustica.gov.br             | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24938789 | 2022-08-23 21:15:38 | 2023-05-11 19:06:29 |
| acessoinformacao.gov.br           | 026.664.015/0001-48 | SEGDI7     | SRBOL6     | GUMSO21    |  9582965 | 2012-03-09 13:11:06 | 2021-09-06 15:56:38 |
| acjus.gov.br                      | 000.508.903/0001-88 | RNSLE4     | AJM126     | PMI2       |  1943823 | 2005-01-05 10:10:27 | 2020-01-24 18:43:43 |
| acraiz.gov.br                     | 004.039.532/0001-93 | JRGJU4     | MAFRA1233  | WEJNO4     |   609551 | 2001-07-25 14:43:49 | 2022-03-23 19:05:08 |
| acre.gov.br                       | 016.958.425/0001-48 | ALQSI      | ALQSI      | ALQSI      |  6434360 | 2010-01-26 13:24:19 | 2023-06-19 23:48:16 |
| acs.gov.br                        | 007.752.497/0001-43 | SEGDI7     | SEGDI7     | OSMAT      |  4108303 | 2007-12-03 16:12:20 | 2020-05-05 20:44:15 |
| ada.gov.br                        | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24938818 | 2022-08-23 21:15:38 | 2023-05-11 19:06:29 |
| adene.gov.br                      | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24939199 | 2022-08-23 21:15:38 | 2023-05-11 19:06:29 |
| aeb.gov.br                        | 086.900.545/0001-70 | JCBBR8     | JCBBR8     | JCBBR8     |   774705 | 2002-04-04 14:27:06 | 2022-05-30 12:22:51 |
| aerofacil.gov.br                  | 000.394.411/0001-09 | MAR79      | MAR79      | MAR79      | 12368464 | 2013-12-23 18:07:43 | 2014-01-15 20:30:54 |
| aeroportodebrasilia.gov.br        | 000.352.294/0001-10 | SEGDI7     | SEGDI7     | GESUP4     |  1008124 | 2002-11-12 10:56:02 | 2020-05-05 20:44:23 |
| aeroportodesalvador.gov.br        | 000.352.294/0001-10 | SEGDI7     | SEGDI7     | GESUP4     |  1012775 | 2002-11-12 10:56:02 | 2020-05-05 20:44:24 |
| aeroportoindustria.gov.br         | 000.352.294/0001-10 | SEGDI7     | SEGDI7     | GESUP4     |   719691 | 2002-01-29 18:45:42 | 2020-05-05 20:44:14 |
| aeroportoindustrial.gov.br        | 000.352.294/0001-10 | SEGDI7     | SEGDI7     | GESUP4     |   719697 | 2002-01-29 18:45:44 | 2020-05-05 20:44:17 |
| aeroshopping.gov.br               | 000.352.294/0001-10 | SEGDI7     | SEGDI7     | GESUP4     |   719666 | 2002-01-29 18:45:38 | 2020-05-05 20:44:21 |
| agenciabrasil.gov.br              | 009.168.704/0001-42 | RSM9       | RSM9       | RSM9       |   369745 | 2000-07-17 13:15:36 | 2009-04-01 12:46:01 |
| agenciacamara.gov.br              | 000.530.352/0001-59 | SSG50      | SSG50      | SSG50      |  5034350 | 2008-11-19 08:40:04 | 2015-06-16 13:33:35 |
| agespacial.gov.br                 | 086.900.545/0001-70 | JCBBR8     | JCBBR8     | JCBBR8     |    98443 | 1998-05-25 17:57:00 | 2022-05-30 12:22:17 |
| aglo.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24943950 | 2022-08-24 11:58:00 | 2023-05-11 19:06:29 |
| agricultura.gov.br                | 000.396.895/0001-25 | MAS3725    | MAS3725    | MAS3725    |    36630 | 1997-04-15 12:00:00 | 2023-03-31 21:07:11 |
| agritempo.gov.br                  | 000.348.003/0001-10 | SMFSM2     | CFP8       | SMFSM2     |  1236028 | 2003-06-05 18:42:46 | 2015-07-29 18:33:32 |
| agro.gov.br                       | 000.396.895/0001-25 | MAS3725    | MAS3725    | MAS3725    | 22479580 | 2021-03-04 20:34:13 | 2023-04-06 22:24:10 |
| agroecologia.gov.br               | 001.612.452/0001-97 | MAS3725    | MAS3725    | MAS3725    | 16096347 | 2016-09-19 13:24:26 | 2020-04-28 13:14:52 |
| agrolivre.gov.br                  | 000.348.003/0001-10 | SMFSM2     | CFP8       | SMFSM2     |  1480690 | 2004-02-03 18:31:07 | 2015-07-29 18:33:56 |
| agronet-pe.gov.br                 | 035.672.054/0001-88 | JATNA7     | JATNA7     | JATNA7     |   786648 | 2002-04-11 11:56:47 | 2019-01-02 17:23:23 |
